feature,importance
thermal_mobility_proxy,0.41759118
temp_viscosity_ratio,0.32252455
oil_viscosity,0.12424812
viscosity_pressure_index,0.028602721
oil_viscosity_roll7_mean,0.024988813
reservoir_temperature,0.015755545
oil_viscosity_lag1,0.008432761
oil_viscosity_lag7,0.003279453
days_since_steam,0.0032536793
soak_time,0.0030897802
reservoir_temperature_lag7,0.0027477576
water_cut_roll7_mean,0.0027334178
oil_api,0.002416433
thermal_decay_proxy,0.0023382334
reservoir_temperature_roll7_mean,0.0022816693
reservoir_pressure_lag1,0.002192553
injection_pressure,0.0021779016
reservoir_pressure_lag7,0.0021496944
water_cut,0.002126877
production_cutoff,0.0021210844
water_cut_lag7,0.0021039592
spm,0.0020844568
reservoir_temperature_lag1,0.0020839302
pressure_temperature_index,0.0020810247
vfd_frequency,0.0020477741
reservoir_pressure,0.002026002
reservoir_pressure_roll7_mean,0.002018959
fluid_level,0.0020109874
vfd_load_index,0.0018384634
steam_volume,0.0018173695
stroke_length,0.0017059402
pump_speed_index,0.0016648377
water_cut_lag1,0.0014640727
